t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0584,0.07725,0.1055,0.1447,0.1849,0.2036,0.23005,0.2432,0.15815,0.23725
1,0.0584,0.07725,0.1055,0.1447,0.1849,0.2036,0.23005,0.2432,0.15815,0.23725
2,0.0584,0.07725,0.1055,0.1447,0.1849,0.2036,0.23005,0.2432,0.15815,0.23725
3,0.0634,0.08536667,0.11419583,0.14849584,0.1811,0.19958334,0.22268334,0.2651,0.1778,0.22735
4,0.06915,0.091183335,0.12157292,0.15479791,0.183975,0.20096667,0.22571667,0.29075,0.20035,0.23135
5,0.0749,0.097,0.12895,0.1611,0.18685,0.20235,0.22875,0.3164,0.2229,0.23535
6,0.058283333,0.081125,0.09215,0.13148333,0.19176666,0.21894167,0.22146666,0.2627,0.16983333,0.24736667
7,0.04646,0.07785,0.0651425,0.12514,0.27095,0.3151,0.32621,0.22841,0.12548,0.34186
8,0.053425,0.0830875,0.056575,0.12315,0.32615,0.3877375,0.3889625,0.223675,0.1144,0.4144625
9,0.1145,0.1405,0.118225,0.185,0.36885,0.42665,0.427,0.2916,0.17635,0.45875
10,0.075341664,0.1036,0.0853375,0.1501,0.311425,0.36240834,0.37914166,0.25883332,0.148775,0.39935833
11,0.036183335,0.0667,0.05245,0.1152,0.254,0.29816666,0.33128333,0.22606666,0.1212,0.33996665
12,0.0976375,0.123425,0.14045,0.19165,0.292525,0.3366,0.2883,0.27425,0.208075,0.367775
13,0.0595,0.081175,0.0877625,0.1342,0.21205,0.24555,0.258375,0.2811625,0.1657125,0.2848
14,0.0517875,0.0705,0.0868625,0.1215,0.17035,0.195275,0.2153625,0.275125,0.1694,0.2350125
15,0.0605,0.07195,0.0822,0.1138,0.15515,0.17705,0.18415,0.245,0.16075,0.20335
16,0.052425,0.0716,0.091125,0.120475,0.15725,0.17615,0.1939375,0.285775,0.1877,0.21075
17,0.05205,0.071175,0.091375,0.119470835,0.15175,0.174275,0.18675417,0.28315,0.190075,0.20369583
18,0.05365,0.0661,0.079925,0.10405,0.1333,0.1478,0.16735,0.24585,0.1576,0.17235
19,0.14835,0.1493,0.1421,0.1565,0.1763,0.1816,0.1965,0.2241,0.1743,0.1896
20,0.04715,0.065575,0.0832,0.1019,0.1319,0.1453,0.171775,0.24985,0.1738,0.1718
21,0.04685,0.0605125,0.07865,0.09905,0.1238,0.135,0.1579625,0.207025,0.13775,0.16075
22,0.04655,0.05545,0.0741,0.0962,0.1157,0.1247,0.14415,0.1642,0.1017,0.1497
