,Unnamed: 0,Unnamed: 0.1,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id,t
0,0,20180102T102421_20180102T102420_T32UPA,6514.942558139539,31.134651162790703,4061.823953488373,3032.256511627908,6213.402790697674,5462.037674418606,6218.303720930236,6459.286511627906,6705.0953488372115,6957.249069767444,6433.838604651164,7100.120697674418,2605.684651162791,0.0,0.0,1024.0,2018-01-02,451,74526670,0.005479452054794521
1,1,20180104T101409_20180104T101403_T32UPA,5305.9162790697665,1370.9148837209302,2414.9651162790697,2284.024186046512,4992.406046511627,4353.5711627906985,4738.8358139534885,5006.566511627908,5181.9390697674435,5301.840465116282,5206.471162790697,5411.682325581396,3774.056744186048,0.0,0.0,1024.0,2018-01-04,451,74526670,0.010958904109589041
2,2,20180107T102359_20180107T102401_T32UPA,5235.616046511629,287.27930232558145,4063.593953488373,3290.643488372093,4839.389069767443,4257.434186046512,4741.607441860466,4754.581395348838,4939.759767441861,5176.276976744187,4770.759767441862,5326.820232558141,1682.9758139534886,0.0,0.0,1024.0,2018-01-07,451,74526670,0.019178082191780823
3,3,20180109T101401_20180109T101536_T32UPA,3225.9765116279077,1345.9239534883725,1916.3651162790704,1750.055581395349,2707.3444186046513,2337.6660465116283,2439.2162790697685,2650.498139534885,2877.3448837209307,3021.852790697675,2879.0809302325592,3139.792558139536,2518.9346511627905,0.0,0.0,1024.0,2018-01-09,451,74526670,0.024657534246575342
4,4,20180112T102401_20180112T102630_T32UPA,6014.144418604655,102.46139534883724,3508.948372093025,2838.0651162790705,5114.1890697674435,4385.744651162791,4874.818139534886,5143.7558139534885,5356.106046511629,5632.495813953487,4851.171395348839,5830.379302325584,3347.0648837209314,0.0,0.0,1024.0,2018-01-12,451,74526670,0.03287671232876712
5,5,20180114T101349_20180114T101347_T32UPA,5226.889767441862,173.3041860465116,3396.7706976744194,2749.2893023255824,4685.531395348838,3884.507906976745,4120.080000000001,4314.966046511628,4392.2406976744205,4477.097209302326,4342.486046511629,4525.7809302325595,2839.6913953488383,0.0,0.0,1024.0,2018-01-14,451,74526670,0.038356164383561646
6,6,20180117T102339_20180117T102341_T32UPA,8295.24069767442,4609.103488372094,3451.623953488373,3648.9830232558147,8120.062790697677,7128.054186046513,8012.336744186048,8397.988139534888,8541.144651162793,8612.263720930236,8651.136744186046,8658.539302325584,7473.597674418606,0.0,0.0,1024.0,2018-01-17,451,74526670,0.04657534246575343
7,7,20180119T101331_20180119T101331_T32UPA,8405.611860465116,837.3113953488373,6000.250232558142,5582.6093023255835,7582.830000000001,6990.1767441860475,8133.74558139535,8643.522093023257,8997.34093023256,9317.142325581397,8419.402790697673,9508.593953488376,5784.590465116279,0.0,0.0,1024.0,2018-01-19,451,74526670,0.052054794520547946
8,8,20180122T102321_20180122T102323_T32UPA,6313.268139534885,476.8216279069768,2775.1160465116272,1996.2469767441867,5935.168139534885,5173.578604651163,5607.735813953493,5703.204186046512,5846.0579069767455,6018.27093023256,5634.009069767441,6084.022093023258,2599.144651162791,0.0,0.0,1024.0,2018-01-22,451,74526670,0.06027397260273973
9,9,20180124T101309_20180124T101352_T32UPA,8795.286511627908,455.7141860465116,6140.554883720932,3868.0930232558144,8930.315813953492,8293.349767441861,9351.154651162791,9350.973255813957,9592.577209302328,10186.947906976744,9564.372093023256,10480.498139534886,2671.2016279069776,0.0,0.0,1024.0,2018-01-24,451,74526670,0.06575342465753424
