,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id
20180102T102421_20180102T102420_T32UPA,6321.868932038835,37.41909385113268,3767.7491909385117,2940.1682847896436,6138.289644012943,5426.980582524271,6193.54207119741,6441.964401294496,6670.485436893203,6889.540453074433,6582.276699029125,7080.640776699029,2697.4660194174758,0.0,0.0,1024.0,2018-01-02,590,77770412
20180107T102359_20180107T102401_T32UPA,4886.100323624595,413.47087378640765,2977.1699029126207,2346.878640776699,4478.566343042072,3789.690938511326,4032.4126213592235,4030.5469255663425,4154.595469255663,4309.5954692556625,4006.6796116504856,4322.700647249191,1580.546925566343,0.0,0.0,1024.0,2018-01-07,590,77770412
20180112T102401_20180112T102630_T32UPA,5280.849514563107,83.28155339805825,3306.511326860841,2376.1310679611647,5016.815533980582,4185.760517799353,4411.3122977346275,4450.0873786407765,4485.9288025889955,4587.775080906148,4722.953074433657,4628.972491909384,2023.3559870550157,0.0,0.0,1024.0,2018-01-12,590,77770412
20180117T102339_20180117T102341_T32UPA,7341.966019417475,1336.2135922330094,3980.2184466019407,3333.8106796116504,6910.658576051778,6004.922330097086,6769.218446601942,7085.399676375402,7253.2815533980565,7422.880258899677,7079.294498381874,7549.40776699029,4708.574433656958,0.0,0.0,1024.0,2018-01-17,590,77770412
20180122T102321_20180122T102323_T32UPA,5860.12783171521,489.27993527508096,2140.2621359223303,1649.7265372168283,5400.210355987055,4668.466019417475,5015.928802588996,5070.923948220065,5220.033980582523,5361.503236245954,4975.008090614887,5431.8284789644,2432.8996763754044,0.0,0.0,1024.0,2018-01-22,590,77770412
20180127T102259_20180127T102314_T32UPA,4554.038834951456,29.211974110032358,4886.639158576051,4246.967637540452,4500.063106796116,4023.5339805825242,4456.886731391585,4594.004854368931,4872.252427184465,5052.6067961165045,5103.09708737864,5227.626213592233,2146.878640776699,0.0,0.0,1024.0,2018-01-27,590,77770412
20180201T102241_20180201T102237_T32UPA,7030.697411003236,3092.1909385113263,3163.0275080906144,3401.142394822006,6777.3818770226535,5994.521035598705,6504.81067961165,6818.8317152103555,6938.582524271844,7071.294498381876,7075.585760517799,7099.977346278316,6044.8899676375395,0.0,0.0,1024.0,2018-02-01,590,77770412
20180206T102209_20180206T102206_T32UPA,3369.503236245954,448.26537216828467,2303.6391585760516,2402.496763754045,2944.380258899676,2569.8996763754044,2737.830097087378,2955.4563106796113,3352.385113268608,3529.813915857605,3287.029126213592,3687.040453074433,2142.260517799353,0.0,0.0,1024.0,2018-02-06,590,77770412
20180211T102141_20180211T102559_T32UPA,5278.498381877022,34.27022653721683,1928.3414239482197,1555.6747572815534,4906.788025889968,4280.551779935275,4629.051779935276,4768.686084142394,4963.605177993527,5145.637540453073,4829.898058252427,5256.915857605178,2068.131067961165,0.0,0.0,1024.0,2018-02-11,590,77770412
20180216T102059_20180216T102601_T32UPA,5211.745954692557,34.490291262135926,4583.661812297734,3816.161812297734,5111.847896440129,4588.038834951455,5051.076051779935,5199.975728155339,5415.626213592233,5604.639158576051,5450.716828478963,5752.215210355987,2451.854368932039,0.0,0.0,1024.0,2018-02-16,590,77770412
20180221T102031_20180221T102033_T32UPA,1931.1197411003234,18.12297734627832,707.8737864077669,526.453074433657,1757.44498381877,1455.407766990291,1403.911003236246,1494.179611650485,1644.906148867314,1711.956310679611,1633.398058252427,1694.3155339805824,972.355987055016,0.0,0.0,0.0,2018-02-21,590,77770412
20180226T102019_20180226T102050_T32UPA,4519.951456310679,1070.1504854368932,7051.483818770226,6344.15857605178,4650.423948220064,4331.320388349515,5032.3899676375395,5479.380258899675,5938.229773462782,6155.037216828478,6298.260517799351,6519.826860841423,4929.129449838188,0.0,0.0,1024.0,2018-02-26,590,77770412
20180303T102021_20180303T102019_T32UPA,7004.493527508091,39.94174757281554,5195.448220064724,3981.689320388349,6719.797734627831,6017.8122977346275,6646.38996763754,6859.868932038834,7071.867313915856,7272.427184466018,6905.46925566343,7387.561488673138,3342.3446601941737,0.0,0.0,1024.0,2018-03-03,590,77770412
20180308T102019_20180308T102241_T32UPA,2038.96925566343,23.969255663430417,1433.7864077669901,1168.8689320388348,1412.5695792880256,1117.8478964401293,1125.4336569579284,1243.2540453074432,1465.9676375404529,1652.7233009708737,1337.3268608414237,1800.6278317152103,841.9336569579289,0.0,0.0,1024.0,2018-03-08,590,77770412
20180313T102021_20180313T102540_T32UPA,6040.540453074434,65.56796116504854,2206.270226537217,1901.5016181229773,5757.9207119741095,5114.81715210356,5390.54207119741,5433.813915857604,5516.9012944983815,5664.218446601941,5470.501618122975,5676.2233009708725,2270.1715210355983,0.0,0.0,1024.0,2018-03-13,590,77770412
