t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.43048972,0.43953693,0.46864235,0.4344974,0.2538364,0.45556188,0.44567505,0.45100683,0.46143237,0.45455506,0.4507612,0.4624079,0.46147442,0.4359182,0.20690149,0.4216445,0.42642385,0.4615113,0.46250302,0.2629898,0.43301237,0.3220398,0.43840268,0.4565001,0.19446273,0.46000102,0.46076244,0.4478188,0.46505556,0.36777848,0.58113056,0.23535876
1,0.44384554,0.45283055,0.47529587,0.44934997,0.24815692,0.46173796,0.45623487,0.4574445,0.4704814,0.4606072,0.45807147,0.46823782,0.4678649,0.44528,0.18844263,0.4280447,0.4369431,0.46949932,0.4683672,0.3067695,0.42773366,0.31156826,0.45057094,0.46191952,0.16952114,0.46671444,0.4656847,0.45410022,0.47033367,0.36436656,0.5720566,0.24769285
2,0.445592,0.44986695,0.47045943,0.4513934,0.32009432,0.46288854,0.4557163,0.458723,0.46478072,0.4608144,0.45932662,0.46575567,0.4675895,0.44813722,0.25531164,0.4321995,0.43985894,0.46555105,0.4681449,0.2928475,0.4547994,0.3452423,0.4511282,0.4609784,0.26099944,0.46324646,0.4624346,0.4564913,0.46942133,0.3998211,0.56341547,0.2840028
3,0.46073088,0.466543,0.47829306,0.46986327,0.3170876,0.47271743,0.47038126,0.46925402,0.47474578,0.47042736,0.47043434,0.47455338,0.47563833,0.4639991,0.2542613,0.45656815,0.46023265,0.47556698,0.47513467,0.27644023,0.45999315,0.39072815,0.46627563,0.47083345,0.26899326,0.47256505,0.47122818,0.46571487,0.47559708,0.43783027,0.53910977,0.2999913
4,0.42473397,0.43190128,0.46239087,0.4301673,0.23973402,0.44870642,0.43911782,0.4430604,0.45527813,0.44690228,0.44328207,0.45496005,0.45573935,0.4273694,0.17320006,0.40524817,0.4157845,0.45469442,0.45685405,0.2589819,0.41785663,0.27943173,0.4322067,0.44799146,0.15823075,0.45227584,0.45159897,0.44003192,0.45914426,0.34997168,0.59071964,0.19146074
5,0.41701815,0.42421827,0.4567457,0.42415026,0.22694644,0.44353855,0.43276975,0.43724918,0.4484566,0.4411168,0.43774578,0.4492722,0.45075527,0.42108476,0.16190971,0.39883164,0.40885118,0.44869202,0.4518682,0.21923406,0.4146358,0.27489293,0.42534164,0.44203985,0.15000646,0.4459555,0.44529518,0.43365327,0.4540963,0.3456115,0.59466386,0.17434114
6,0.4323761,0.43589294,0.46414933,0.43668947,0.2751537,0.45277774,0.4434423,0.4474171,0.45724702,0.45098376,0.44800708,0.45757034,0.459657,0.43333772,0.21711801,0.41042987,0.42158005,0.4576747,0.46075597,0.28077498,0.4287759,0.30118245,0.43790486,0.45115235,0.19808619,0.45497864,0.45387733,0.44537595,0.46268833,0.3549043,0.5815468,0.2302688
7,0.44258037,0.4489805,0.46855733,0.45360315,0.25394648,0.4604082,0.4556144,0.45541096,0.46259612,0.45764774,0.4570145,0.46345717,0.4650962,0.44729692,0.20465785,0.43703768,0.44107556,0.46483812,0.46453327,0.19934909,0.43867764,0.36212623,0.44957572,0.45817655,0.2069137,0.46055976,0.4591017,0.4509667,0.4655218,0.40279198,0.55434036,0.2376139
8,0.4405597,0.443715,0.4679834,0.44332662,0.30662203,0.4578066,0.44975808,0.45335764,0.46254364,0.456398,0.4533503,0.4625089,0.4636048,0.44114882,0.24679479,0.41969192,0.42992514,0.46140313,0.46483338,0.34191388,0.4204296,0.30807614,0.4452141,0.45679718,0.20998259,0.46076176,0.46010527,0.45094892,0.46690616,0.36992,0.5719347,0.2237282
9,0.4881661,0.48743477,0.48930934,0.4935787,0.434263,0.48860142,0.4895743,0.48679924,0.48863557,0.4874136,0.48789346,0.48797646,0.48972943,0.48692232,0.3988371,0.48102233,0.4842941,0.48921221,0.48930535,0.3946443,0.4758861,0.44984463,0.48930046,0.48609513,0.39357466,0.4875924,0.48545444,0.48505735,0.48940378,0.4745398,0.5111184,0.39798376
10,0.49214244,0.49130568,0.4926094,0.49586514,0.45467207,0.49233946,0.49308473,0.4911554,0.49210185,0.49129692,0.49178144,0.49146017,0.4931063,0.49117875,0.4313978,0.48767212,0.48996103,0.4928347,0.49269262,0.41426858,0.49042284,0.47482306,0.49300858,0.4904295,0.44084987,0.4911049,0.48951584,0.49009642,0.49249336,0.48465362,0.50702804,0.44171533
11,0.40084672,0.40990618,0.45165846,0.40429989,0.2022031,0.43430185,0.41935524,0.42788097,0.44150114,0.43250245,0.42707962,0.44282174,0.4430082,0.4061245,0.14795668,0.38105485,0.3911712,0.44088465,0.44501805,0.22339699,0.39989895,0.24452928,0.41056722,0.4346929,0.127398,0.4395654,0.4403714,0.42414173,0.44850203,0.3071392,0.6168819,0.15059422
12,0.49739534,0.49820676,0.4950377,0.5043264,0.43469173,0.49548486,0.49883068,0.49454856,0.49526522,0.4941313,0.49582544,0.4944313,0.49574357,0.49742505,0.41726995,0.49763408,0.4982276,0.4964363,0.4944962,0.38377422,0.48248607,0.49232233,0.49852777,0.49343765,0.4189061,0.49397114,0.49208036,0.49218243,0.49401075,0.50250614,0.49431717,0.4242864
13,0.49104372,0.49107948,0.49308503,0.49441424,0.44988587,0.49220046,0.492705,0.49126402,0.49254826,0.49136946,0.4915749,0.4919596,0.4931106,0.49092695,0.42903644,0.4882589,0.48975906,0.49311638,0.49251464,0.41431755,0.48672634,0.4663984,0.4919041,0.49093577,0.44127765,0.49142495,0.49023968,0.4901503,0.4924622,0.48856702,0.5069598,0.42406425
14,0.44439143,0.45156962,0.47313094,0.45028248,0.27361736,0.46303955,0.45695877,0.45888847,0.46780968,0.46149126,0.4590412,0.46761745,0.46781078,0.4486932,0.2342263,0.4378786,0.44209978,0.46808785,0.46804845,0.26949182,0.43421522,0.3544992,0.45095223,0.46291178,0.21721637,0.46547747,0.4653499,0.45549166,0.46957847,0.39984372,0.5575853,0.23953463
15,0.49148086,0.490004,0.4925129,0.4945894,0.45864913,0.49196926,0.49218845,0.49064457,0.4919223,0.491251,0.49130014,0.49142575,0.4931347,0.49049744,0.43720648,0.48578787,0.48857084,0.49267364,0.4926302,0.4222427,0.48732716,0.46017855,0.49145177,0.4902997,0.44893417,0.49075162,0.48923722,0.4902661,0.49250585,0.48682973,0.50699323,0.42719844
16,0.49310446,0.49563062,0.49510667,0.49809125,0.43099472,0.49392098,0.49603385,0.49348253,0.49521503,0.49321857,0.493676,0.49441162,0.49418893,0.49453422,0.4087941,0.49558595,0.49424168,0.49531293,0.49312043,0.39746678,0.4779986,0.467513,0.49491182,0.49330848,0.41456166,0.49435505,0.49339145,0.4907076,0.4934532,0.4965248,0.50191724,0.39906326
17,0.45239785,0.45905352,0.47630724,0.45935336,0.28973076,0.4679995,0.46390405,0.46424416,0.47211558,0.4667991,0.46455514,0.47197637,0.4715754,0.45681515,0.2453589,0.44967046,0.4514342,0.47238025,0.4714039,0.26480561,0.4399692,0.37625673,0.4582681,0.46776962,0.24198557,0.47015548,0.46963805,0.46057358,0.4728287,0.425205,0.54710007,0.24738659
18,0.45637625,0.45890966,0.47748125,0.45969176,0.32273903,0.46891993,0.46393484,0.464972,0.47369564,0.46813974,0.4654129,0.4725378,0.47355658,0.45645583,0.27243644,0.44137987,0.44878381,0.47343045,0.47405812,0.33758652,0.44653922,0.3561868,0.45965153,0.46811277,0.26273334,0.4710216,0.46977937,0.46358687,0.4753455,0.40549746,0.55282265,0.2827809
19,0.4595324,0.46319613,0.47765622,0.46691734,0.31753063,0.4716506,0.4683694,0.4680755,0.47359756,0.47011754,0.46899092,0.47412017,0.4751332,0.46254313,0.28391546,0.4549711,0.45751265,0.47521058,0.474587,0.26947504,0.45017418,0.39687383,0.46379924,0.4702804,0.28325367,0.47216526,0.47099766,0.46507066,0.47564918,0.4321,0.5372813,0.28674197
20,0.49367055,0.4933961,0.49330488,0.49827132,0.44561264,0.49282137,0.4947878,0.4918026,0.49358004,0.49219343,0.49234965,0.49266696,0.4933969,0.49308538,0.41637757,0.4899252,0.49123788,0.49371338,0.49252126,0.4087568,0.478456,0.45771885,0.49411115,0.4912921,0.42256668,0.492583,0.490892,0.48991346,0.4928664,0.49277163,0.5041513,0.39778334
21,0.48432434,0.48610428,0.48996985,0.48981506,0.3975603,0.4876263,0.4883257,0.48575822,0.48920915,0.48669755,0.48641488,0.4881901,0.48871738,0.4851548,0.35883066,0.48234546,0.48349214,0.48950815,0.4880421,0.35939503,0.4770318,0.45089862,0.4863419,0.4863802,0.37626496,0.48755977,0.4861277,0.4836049,0.4882257,0.47984356,0.51380086,0.37282264
22,0.40342584,0.41205356,0.45264226,0.40906486,0.18539481,0.43575817,0.42237124,0.42855427,0.44283375,0.43401018,0.42855778,0.44394383,0.44426084,0.40901315,0.13850339,0.38606295,0.3952805,0.4432255,0.44567415,0.18503015,0.3983895,0.26217142,0.4125776,0.4358098,0.1226456,0.44020888,0.44047275,0.42499658,0.44873932,0.32335573,0.6085972,0.13921063
