t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.6408084,0.01665569,0.53962165,0.48031688,0.65772545,0.5755236,0.64721256,0.66831195,0.6801884,0.6930598,0.70524454,0.6985544,0.30740607
1,0.6167375,0.115377106,0.39678657,0.30654827,0.58707863,0.5120056,0.5584195,0.5635234,0.576739,0.59535974,0.5664261,0.6060448,0.27084947
2,0.6388388,0.012182898,0.4448445,0.32354763,0.62839824,0.5490511,0.6104434,0.6327663,0.6443674,0.6556899,0.64434344,0.65958464,0.3383679
3,0.6669817,0.15247074,0.35924828,0.30993596,0.6072316,0.52791363,0.594499,0.6265823,0.6495613,0.66986674,0.6256969,0.6823074,0.4347886
4,0.6919789,0.10200841,0.26887068,0.23391668,0.6578128,0.5812359,0.62839013,0.6433951,0.65576786,0.67296535,0.63685626,0.67792165,0.3537311
5,0.26841018,0.05019399,0.21419929,0.21053639,0.22993788,0.19953378,0.20907272,0.23036297,0.2672853,0.28060856,0.27109754,0.29659986,0.18040664
6,0.5900406,0.0046024737,0.57935065,0.49581456,0.58128846,0.5330667,0.5953427,0.61541075,0.6385108,0.65854734,0.64738274,0.6751995,0.31103978
7,0.18745887,0.001896113,0.111310035,0.07707286,0.15473625,0.133361,0.13336919,0.15847951,0.1900699,0.20051937,0.19623788,0.20995435,0.12354805
8,0.34268665,0.024960283,0.3054279,0.2757722,0.30018303,0.26631358,0.28357372,0.2992049,0.31906772,0.33075196,0.31702763,0.34437618,0.21198255
9,0.45967942,0.03779675,0.13107823,0.11823894,0.4374332,0.3940538,0.41974065,0.43408093,0.45897004,0.47393188,0.45920452,0.4819595,0.23068933
10,0.6143935,0.008700778,0.45696756,0.33590868,0.590155,0.5418447,0.5830408,0.5942657,0.6108585,0.63165486,0.60136664,0.6425761,0.27488673
11,0.7703549,0.025619293,0.43633696,0.33900854,0.73407644,0.67607087,0.7294285,0.7291895,0.7446821,0.7732591,0.71922415,0.78521484,0.3123944
12,0.2289588,0.07399512,0.1950195,0.15880078,0.18781781,0.17843512,0.18639371,0.2099475,0.25196326,0.27208176,0.24998897,0.28322262,0.16355039
13,0.2270884,0.006909046,0.35215414,0.2593709,0.25052014,0.2315672,0.2297798,0.2516554,0.3195738,0.35850185,0.3786,0.36837372,0.1561299
14,0.1693518,0.0032865724,0.24249887,0.16950898,0.13991399,0.1321569,0.122433424,0.14844106,0.24804813,0.28513718,0.26720077,0.29481682,0.08042311
15,0.15217124,0.024734417,0.22611625,0.16030155,0.1310405,0.13145958,0.12610601,0.16042487,0.26003414,0.29926953,0.2873547,0.31291103,0.13356537
16,0.13806933,0.0033219787,0.20877844,0.13190714,0.110921346,0.112452365,0.09569993,0.13775824,0.27491555,0.32844996,0.31369153,0.35958785,0.09489421
17,0.12562326,0.0013444523,0.21730494,0.14264332,0.10220169,0.106958725,0.088710316,0.12913929,0.27541733,0.32876602,0.31528798,0.33852643,0.1291304
18,0.1504236,0.0011376678,0.19965477,0.10772686,0.11495477,0.11120445,0.08581682,0.12857908,0.2829969,0.34507683,0.3333889,0.3753909,0.09333512
19,0.46275228,0.01782947,0.3320653,0.25731605,0.44256395,0.41421816,0.436973,0.44006988,0.48645365,0.525221,0.49010658,0.540109,0.17431301
20,0.13345951,0.0031582331,0.23498622,0.1366188,0.104547985,0.10469682,0.083914414,0.13058841,0.2899482,0.35578892,0.34704494,0.38582304,0.10355505
21,0.25946298,0.0016224735,0.28195137,0.20899498,0.21484713,0.2016065,0.19491498,0.21901004,0.32654,0.38219866,0.34924296,0.40899462,0.09136749
22,0.7492564,0.024237031,0.6299367,0.49623716,0.75452256,0.7229257,0.76992905,0.78524655,0.8129056,0.8407574,0.82674503,0.85517865,0.47790566
23,0.18477823,0.018096466,0.22964883,0.14034453,0.15084353,0.14081796,0.12524162,0.15901831,0.28564522,0.34723598,0.34675676,0.3897388,0.11600636
24,0.79914474,0.0027943463,0.56328934,0.40264636,0.7850455,0.7443221,0.78542143,0.7819035,0.80195355,0.83375764,0.8006654,0.8473501,0.32213145
25,0.11718877,0.0011731449,0.21963653,0.13016573,0.09295293,0.09447611,0.08655364,0.13283385,0.2374836,0.28119153,0.29257315,0.3322017,0.14003555
26,0.19604665,0.0043439576,0.12128643,0.08472205,0.16375661,0.13926014,0.12503321,0.13308197,0.17742763,0.21108142,0.19150594,0.21965583,0.046693567
27,0.18875654,0.002589046,0.16894975,0.09885449,0.16680071,0.14403498,0.13213633,0.15016381,0.21917124,0.25002155,0.24909654,0.26848996,0.0875776
28,0.36173108,0.027298799,0.31222403,0.25839725,0.31598967,0.29695535,0.3039152,0.31822416,0.36849278,0.40418968,0.3718253,0.42213172,0.19123767
29,0.13014643,0.001114841,0.32968268,0.2185911,0.11674262,0.11650968,0.13108616,0.16022141,0.21978304,0.25523603,0.25528842,0.29711264,0.0714277
30,0.1330487,0.001660848,0.3268378,0.21138248,0.11619611,0.11391668,0.13144007,0.15537943,0.21071081,0.24789123,0.2443634,0.28468975,0.06392551
31,0.315919,0.0029182332,0.34828135,0.27953732,0.28189886,0.26102304,0.26930255,0.28119704,0.3400113,0.38145435,0.35502636,0.40730911,0.12999675
32,0.13503152,0.0017679859,0.27240446,0.18580283,0.11604721,0.110708766,0.1265188,0.14513753,0.1843229,0.21184686,0.2097443,0.24820757,0.055930037
33,0.69070804,0.08707491,0.3241643,0.30638063,0.6691305,0.6287882,0.66821945,0.67224365,0.68897086,0.711015,0.6800348,0.7205461,0.38837323
34,0.17332692,0.02233046,0.23168841,0.17643371,0.14650305,0.13549498,0.13757555,0.1556564,0.20603427,0.22602664,0.22180729,0.24922255,0.09153647
35,0.48597273,0.0018544876,0.45134437,0.3433025,0.45675504,0.4378296,0.46763957,0.47408777,0.51337534,0.5476481,0.5058698,0.56903964,0.17094608
36,0.14000855,0.0011267138,0.23535965,0.16396855,0.11190353,0.10235329,0.10350664,0.12041894,0.17525399,0.19974163,0.19035512,0.22134975,0.04171145
37,0.13393159,0.003333993,0.22157335,0.16221201,0.1062641,0.1001853,0.100267775,0.12313329,0.17933653,0.20018198,0.20500502,0.2257988,0.10011321
38,0.13701534,0.001,0.220446,0.15790127,0.11141032,0.104349256,0.10442792,0.12666841,0.18052925,0.19793618,0.18928438,0.22061887,0.06000749
39,0.71944404,0.0028922968,0.6718352,0.52939844,0.7541261,0.7247285,0.78271455,0.79007185,0.8114539,0.8362183,0.8204792,0.84897894,0.3197706
40,0.17915258,0.0009833216,0.068820074,0.04001032,0.13799173,0.10179413,0.08379922,0.08567534,0.10568092,0.11586855,0.10864756,0.11766085,0.03288862
41,0.46130863,0.024101697,0.36735624,0.26195407,0.42439052,0.3907747,0.4135432,0.42494354,0.4529436,0.47253385,0.4382443,0.48707867,0.20675625
42,0.4006123,0.011296961,0.33802912,0.27800062,0.3894703,0.34734517,0.35906628,0.36889768,0.3953773,0.41455215,0.402649,0.42714536,0.17301096
43,0.18607505,0.015383604,0.16838078,0.11884813,0.14946029,0.12034042,0.10789767,0.12937936,0.18104361,0.19848989,0.19474268,0.21222056,0.11467548
44,0.57615733,0.0018103886,0.24073024,0.12546219,0.53479236,0.4587232,0.4731967,0.45694783,0.4654379,0.48414487,0.4504593,0.4842708,0.118314065
45,0.5970294,0.041803252,0.286541,0.25683674,0.5761335,0.49450007,0.524573,0.53511626,0.53850454,0.54801357,0.548148,0.5477021,0.30487484
46,0.6221882,0.015848057,0.6075238,0.5422999,0.59235865,0.53701156,0.6105771,0.6493707,0.6723529,0.6950175,0.6437688,0.7196085,0.42419603
47,0.28830332,0.006335901,0.26901716,0.23285031,0.24257357,0.20485356,0.20813018,0.22650318,0.26924297,0.2874547,0.27168423,0.30835858,0.11059887
