t,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-0.23462515,-0.14300339,0.017614419,-0.006174118,-0.023613393,-0.070792034,0.10219961,0.3011276,0.08194641,0.0036613697,0.0030950091,0.003165717,-0.03460206
1,-0.22308156,0.002737888,-0.06391765,0.024276197,-0.044863623,0.032587115,-0.023370221,0.16762649,0.07161133,0.01712359,0.01720077,0.01677008,0.0052996054
2,-0.076000914,-0.019721527,0.013192463,0.013131958,-0.011638761,-0.01775887,-0.0455889,0.02527616,0.02294005,0.014604328,0.015098716,0.014450678,0.05201461
3,-0.004657144,0.007667624,-0.013161291,-0.002052886,0.0017203026,0.0051099123,0.0028056728,-0.017747186,0.004287825,0.0062174485,0.0054455185,0.006396265,-0.0020320613
4,-0.00024276641,-0.0039947187,-0.021877125,-0.0014419586,0.008045329,0.0042845285,-0.018268712,-0.0014125779,0.0062728417,0.0047892896,0.005072069,0.0045296205,0.014244181
5,-0.48487496,-0.002627876,0.65012443,0.09065906,0.0418831,-0.73880315,-2.0822852,3.3352141,0.929484,-0.39176208,-0.37463012,-0.45741722,-0.51496446
6,0.05495905,0.086800225,0.04661076,-0.014014593,0.024603596,-0.15332973,-0.19928223,-0.042588834,0.027998267,0.042968098,0.0430175,0.041428965,0.040828932
7,0.109694414,0.13657916,-0.028111946,0.062896855,0.3679683,-0.6641552,0.31389883,-0.56428194,-0.08264038,0.14436443,0.14506924,0.14158452,-0.08286633
8,0.32241297,-0.083945096,-0.88340515,0.83482754,1.1814891,-0.59741,0.0102023175,-0.4282291,-1.1182413,0.35635787,0.3541198,0.33929628,-0.28747514
9,-0.017771317,0.0017225071,-0.012594211,-0.0049505197,0.0010742599,-0.011159858,-0.0068446584,-0.023911837,0.00861591,0.013995887,0.014364251,0.014029999,0.023429586
10,0.37233835,0.6556435,-0.09785053,0.3845347,0.7171779,-2.3139548,-0.8694421,0.43822545,-0.29903075,0.21894094,0.22289982,0.16065732,0.40985987
11,2.4212866,8.675614,0.3078144,0.6982668,4.0316315,-25.119196,-1.6671944,8.8315115,-2.3643036,1.5901862,1.5204321,1.2065582,-0.13260904
12,-0.054491553,-0.02746736,0.011767209,-0.0065106577,-0.03173632,-0.007910728,0.017953545,0.006741468,-0.024024436,0.023083773,0.021711271,0.023446616,0.047437176
13,-0.15718251,-0.021474704,0.072124004,0.010411669,-0.095099784,-0.047712542,0.099558786,-0.10918277,-0.032113787,0.04612463,0.046694644,0.04635255,0.1414998
14,-0.9028797,0.7673366,-1.9468518,1.4830381,1.553048,-9.830533,-0.45277545,10.572813,-1.9100488,0.6108869,0.61359125,0.6631351,-1.2207607
15,-1.2288864,0.06154566,-0.37509114,-0.5652338,-0.23521249,-3.6294382,5.0683503,1.9506963,-0.83624035,0.404356,0.3802554,0.5167008,-1.5118023
16,1.2342553,-0.9512839,1.3272394,-1.4845529,-0.095906846,-0.9120163,1.2521397,0.97540164,-2.3731515,0.28208792,0.2536542,0.33156762,0.1605656
17,1.6183248,-2.2673285,-0.20622368,-0.09238802,0.034761857,-1.8170166,4.325188,0.092139944,-3.2304041,0.5201127,0.516488,0.53903705,-0.032691758
18,-0.58791727,0.40733558,-2.0473077,-0.121647045,-0.5345717,-0.10302851,0.656036,2.4013753,-0.9926499,0.5230465,0.41537416,0.55718994,-0.5732351
19,0.3345066,1.7631032,-1.9580778,1.805938,0.3977599,-2.9781237,6.382292,-8.796813,0.8448314,0.7732961,0.78585994,0.7395273,-0.09409977
20,3.380877,7.5580287,2.137179,-1.2450062,1.6427587,-13.939419,0.7322579,-1.4790286,0.38004762,1.1001209,1.2010533,0.7614249,-2.230293
21,0.009169181,0.0068576997,-0.011183135,0.0021012858,0.016394388,-0.048341557,-0.008987494,0.03150988,-0.011265543,0.005850219,0.004456585,0.0069759153,-0.0035374374
22,3.031421,5.380661,2.6813583,-2.3988812,-1.0371609,-5.4836354,-2.4393353,0.13481542,0.7257019,0.30811566,0.40960267,0.08987496,-1.4025378
