t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.005538264,0.009043388,0.004967669,0.011638103,0.036566444,0.0019801029,0.007825158,0.003603514,0.0062967553,0.0026286659,-0.0001967768,0.007098666,-0.0024088556,-0.0040465766,-0.022861706,0.008336081,0.0067504505,0.0021569822,-0.0035141248,-0.04055858,0.018305575,-0.03643042,-0.0032329068,0.005555153,0.00746086,0.010239922,0.014349593,-0.0009786858,0.0072689466,-0.012909901,0.0764868,0.02317285
1,-0.013330965,0.021493522,0.010944679,0.02537401,0.06910975,0.006769355,0.016633956,0.008483529,0.011501791,0.002694696,0.00042328556,0.008581901,0.0018037317,-0.0031616953,0.022501405,0.015854618,0.015884548,0.0034316115,-0.003546842,-0.13685094,0.030209942,-0.09979846,-0.00012545512,0.012577889,0.0129103875,0.018282056,0.027009385,-0.00179608,0.011240416,-0.024321172,0.13842466,0.030102879
2,-0.021687832,0.028922495,0.0155650955,0.03302973,0.06382417,0.009508773,0.02314818,0.008295508,0.018789647,0.008289926,-0.0023805534,0.011185321,0.0016148345,-0.0073015336,0.058686774,0.01836425,0.022221874,0.0063258093,-0.005978383,-0.18287191,0.045664545,-0.15785046,-0.00035755365,0.017947983,0.01946638,0.025330892,0.035991497,-0.0032630626,0.013816172,-0.054243717,0.1706881,0.053393714
3,-0.022611065,0.027294591,0.014476256,0.03393911,0.04909831,0.008679398,0.0236217,0.006360619,0.018638143,0.009857555,-0.004319389,0.0148951765,-0.0028921666,-0.012764258,0.05562285,0.017115125,0.020967659,0.008958701,-0.010068728,-0.19367476,0.07136553,-0.155662,-0.005795979,0.017734142,-0.0045863707,0.028750362,0.03998967,-0.004008789,0.015697036,-0.0676779,0.18811671,0.06856682
4,-0.019823434,0.021520438,0.008546107,0.029402802,0.047118083,0.0076596267,0.019720772,0.0031673084,0.011256177,0.008248675,-0.0048266277,0.010220832,-0.002364027,-0.012943569,0.06228067,0.009416728,0.016693821,0.007958898,-0.010006037,-0.1671577,0.028841324,-0.12035994,-0.0057161585,0.013629142,0.006930508,0.022248542,0.029974634,-0.0045577846,0.009872108,-0.05488155,0.16105944,0.097704
5,-0.015699428,0.013610506,0.0039264914,0.021253103,0.0359538,0.0060250815,0.013394059,0.00038971848,0.0040985933,0.0045587886,-0.004717635,0.004740963,0.00058922166,-0.010650259,0.062243655,0.002362245,0.010467418,0.0063719917,-0.0074600694,-0.13405368,-0.006035437,-0.07849109,-0.0053143697,0.010071061,0.011931734,0.014567005,0.019567754,-0.004472044,0.004314064,-0.042100158,0.11232602,0.09583899
6,-0.014080259,0.012566522,0.0040338673,0.018326923,0.03537963,0.006009081,0.012710643,0.00082791125,0.004412014,0.0053775045,-0.0040094964,0.0038409824,0.0013643218,-0.0085461,0.067401975,0.0018148023,0.009864533,0.005997266,-0.006159801,-0.12233299,-0.011421229,-0.082424596,-0.0033542195,0.009718245,0.028977117,0.0128060775,0.016855462,-0.0042977496,0.0039314553,-0.039338555,0.09352768,0.099619225
7,-0.022020599,0.025699934,0.012046944,0.02714037,0.06024611,0.011785157,0.021944843,0.0065675443,0.016281681,0.012204242,-0.0024640912,0.0051437467,0.0064600892,-0.0045705773,0.12284797,0.009153056,0.020783791,0.0065511256,-0.0024440037,-0.16100909,0.0032738147,-0.15544607,0.0051142965,0.01765651,0.05046066,0.018728476,0.02473365,-0.004137913,0.0077920845,-0.05422315,0.117950514,0.114396684
8,-0.022063373,0.020099282,0.008831489,0.02292507,0.054834507,0.01108993,0.017900867,0.0032794194,0.012023165,0.010929606,-0.003856896,0.0030400525,0.0076554543,-0.0064125126,0.12576298,0.003937991,0.016767766,0.0061322264,-0.0016085434,-0.14037372,-0.015812527,-0.12093231,0.0032181842,0.016153967,0.045846257,0.015070463,0.019867947,-0.0053602983,0.004397568,-0.04974184,0.093075976,0.10913446
9,-0.024266036,0.02480707,0.013129703,0.030025838,0.045145705,0.011663802,0.021756787,0.005030914,0.015829457,0.010262373,-0.004007418,0.009316381,0.0051015723,-0.009559021,0.11202637,0.011201901,0.020000046,0.007607569,-0.0043592164,-0.1955181,0.027559392,-0.15195979,-0.00061058736,0.019004628,0.021213066,0.022477973,0.031651612,-0.005916182,0.0107382815,-0.080028,0.14300771,0.08944433
