t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,-0.06276146,-0.02827438,0.021415653,-0.01525052,-0.046294972,0.013647041,0.0011392991,0.060714312,0.073017344,-0.014757241,-0.01153438,-0.016244998,0.02518431
1,-0.017822677,-0.008739747,0.0008659519,0.004947351,-0.00921247,0.013871144,-0.029422056,0.031260546,0.0099217165,-0.0012708959,-0.00095302466,-0.0013741737,0.007928334
2,-0.001560968,-0.0046974556,-0.0003466763,9.674478e-06,-0.00034058266,0.002763229,-0.010124761,0.0048226793,0.003280212,-0.00062349177,-0.0002223689,-0.0006528354,0.007693346
3,-0.06940384,-0.2689804,-0.59548295,0.8336241,0.0029896016,-0.06460266,-2.9992044,5.3387704,-0.3405863,-0.12405314,-0.13446538,-0.16161981,-1.4169854
4,-0.023268487,-0.014096422,-0.003942052,0.0045195227,-0.0030346303,-0.024613908,-0.0067976546,0.008766855,0.0024733918,0.008081637,0.00788288,0.008216877,0.035811994
5,0.23989007,0.2807476,-0.004301076,0.22040005,0.019872293,-2.0160847,-0.659229,2.8922606,-0.93003076,0.10904804,0.10735695,0.08953198,-0.34946212
6,0.3993188,1.1345419,-0.2869627,0.47259113,0.081464395,-3.7494793,-0.68497556,3.0680242,-1.284311,0.34474877,0.33275053,0.30221832,-0.12992945
7,1.4573052,2.5675683,-0.369895,-0.044694353,0.7993381,-6.591792,-0.20943132,2.2102964,-1.6158133,0.6993637,0.65490663,0.5835377,-0.1406901
8,-0.024876019,-0.011764262,-0.01186957,0.006358894,-0.0034643137,-0.030043816,0.009508618,0.021640942,-0.00745881,0.0058534406,0.0054053427,0.006063824,0.034645732
9,-0.005253724,-0.005136067,-0.001178825,0.0012059326,-0.004609844,-0.00417627,0.008407591,0.0006529445,-0.008519281,0.0025242572,0.0025263126,0.002522049,0.011034924
10,-0.018531417,-0.005359427,0.00042092655,0.0018261982,-0.013698165,-0.012972366,0.030274991,-0.0050958595,-0.019305069,0.0063849203,0.006362638,0.0063860593,0.023306573
