t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.02076214,0.0339637,0.01952389,0.036452517,0.10677286,0.009511458,0.027619235,0.013155955,0.029183153,0.015355304,-0.0002484141,0.018832661,-0.003620832,-0.0074611106,0.026069872,0.02628475,0.027369775,0.007671164,-0.005467759,-0.11016939,0.09774199,-0.15560241,-0.0014242796,0.019671466,0.008478078,0.030272072,0.041496586,-0.00030334035,0.022323027,-0.06467856,0.23012641,0.050470643
1,-0.0333394,0.044248518,0.02252923,0.054223213,0.15845285,0.013987666,0.03740183,0.013092261,0.030288603,0.016245054,-0.0036820688,0.022030123,-0.0027436982,-0.015379423,0.054597735,0.029205289,0.035442624,0.010283288,-0.011441512,-0.19524708,0.07339912,-0.2222425,-0.005361965,0.026707318,0.030522592,0.040719133,0.05682546,-0.004755795,0.02474505,-0.08149868,0.33581018,0.08800687
2,-0.05349233,0.074324615,0.036720138,0.09022241,0.17218988,0.027326895,0.0583972,0.025736347,0.04212804,0.014402214,-0.0014791193,0.027169429,0.010002518,-0.014055263,0.08787963,0.047340807,0.057723675,0.012809001,-0.0093863085,-0.315266,0.10276284,-0.28481263,0.001634317,0.045253072,0.011853396,0.060643185,0.088971615,-0.0071646464,0.034819998,-0.12470116,0.5101673,0.087647885
3,-0.049645655,0.060758494,0.027840577,0.07920371,0.13463846,0.021857714,0.051401444,0.013900515,0.034554187,0.017601486,-0.008235591,0.025678542,-8.4089115e-05,-0.025440343,0.11580974,0.032693144,0.04794956,0.016686298,-0.01761417,-0.32805526,0.09834464,-0.27961314,-0.0079293335,0.037125085,-0.00021132221,0.05543883,0.078656465,-0.009792831,0.027743658,-0.12616372,0.45540833,0.1288448
4,-0.058923632,0.075342104,0.03382227,0.09808318,0.15393461,0.029140215,0.06062191,0.0209766,0.035780642,0.011819405,-0.005457949,0.027353313,0.009773749,-0.023050386,0.11306092,0.041987076,0.05805353,0.015273832,-0.014902765,-0.40001732,0.07852355,-0.29168874,-0.0034939295,0.046584427,-0.007008231,0.06409567,0.093550235,-0.011484535,0.031586,-0.15558572,0.5430894,0.11394735
5,-0.04996962,0.05493296,0.021799998,0.07963121,0.10056278,0.020825224,0.046362437,0.009282682,0.02185429,0.0081241075,-0.009885305,0.02262316,0.0031830403,-0.029649213,0.09973782,0.026476631,0.042342223,0.015070509,-0.019076703,-0.39063436,0.03834791,-0.21733668,-0.0129628675,0.03553525,-0.027271219,0.052450024,0.07557091,-0.012372183,0.021839062,-0.12905347,0.44200152,0.12750667
6,-0.047895364,0.05584921,0.022524219,0.07528019,0.110733144,0.020649068,0.04854604,0.009374941,0.026884811,0.015847802,-0.010115968,0.022313796,0.00015623018,-0.027989928,0.124521405,0.02478106,0.043853264,0.016818494,-0.019935222,-0.36717814,0.044996038,-0.26157033,-0.009155938,0.034659527,0.0019110935,0.051665455,0.07124606,-0.011389358,0.022018066,-0.13345574,0.41149586,0.16510355
7,-0.03648901,0.030953273,0.008856194,0.048172757,0.05121118,0.014723427,0.028624956,0.00039818557,0.008190708,0.0069548497,-0.010060105,0.008822565,0.0064844466,-0.023139667,0.14393881,0.0043281075,0.02386844,0.011822882,-0.013059869,-0.2879041,-0.046390574,-0.12044699,-0.009673343,0.024149163,0.009943918,0.030378118,0.04161672,-0.010664446,0.006057539,-0.07124009,0.23117469,0.18414134
8,-0.028396945,0.02353254,0.007141883,0.036762528,0.035548557,0.011640213,0.022526301,-0.00018264474,0.005398825,0.0056559816,-0.0086427815,0.005887433,0.006307218,-0.018598286,0.115043595,0.0014221352,0.01807065,0.010245616,-0.0105624,-0.22897977,-0.062892,-0.09162037,-0.007757133,0.020039303,0.040311445,0.023531806,0.031944256,-0.01044114,0.0041058394,-0.04882162,0.17373736,0.16356784
9,-0.038800098,0.04422527,0.02134683,0.053989038,0.10248067,0.017531548,0.038743887,0.009224656,0.027361834,0.018463135,-0.0074489415,0.016099807,0.00450881,-0.017973855,0.13385668,0.019179914,0.035863608,0.014217813,-0.011015379,-0.26138547,0.020685257,-0.20993677,-0.003033424,0.031263623,0.046135135,0.03926487,0.05312227,-0.0091458075,0.01867217,-0.095601186,0.28546727,0.16088447
10,-0.044291105,0.04664106,0.022225732,0.061684918,0.10844563,0.018605795,0.040956296,0.008613894,0.026924083,0.016804118,-0.008881571,0.019277256,0.0039971117,-0.022425413,0.122582406,0.022056688,0.038216855,0.014781529,-0.01335759,-0.30313754,0.03645551,-0.2217668,-0.0073444787,0.03337492,0.023563074,0.043639414,0.060881503,-0.010462906,0.021144679,-0.115288556,0.33626586,0.13538094
11,-0.058056526,0.06659019,0.03443013,0.084441684,0.124698475,0.024570439,0.05649858,0.014801851,0.04371666,0.02338684,-0.00978742,0.029764691,0.0028436955,-0.02713592,0.13165799,0.03664364,0.05449574,0.018094227,-0.016675828,-0.34066057,0.09529308,-0.281397,-0.0076814983,0.044710584,0.012451287,0.061053857,0.08623486,-0.011156986,0.032688513,-0.14733215,0.48576438,0.12623839
12,-0.06373209,0.07429151,0.039222315,0.098752104,0.10672571,0.026212694,0.06374929,0.01717533,0.049016852,0.023225937,-0.01099778,0.040347915,-0.00241577,-0.03485347,0.11091843,0.044668533,0.059566073,0.021455068,-0.022806428,-0.37809196,0.14939815,-0.29172805,-0.015894309,0.04972416,-0.016381819,0.0745721,0.106337905,-0.0112892995,0.042072136,-0.19194403,0.62125313,0.116049185
13,-0.045035183,0.040977154,0.015170196,0.061965715,0.050194036,0.017844222,0.036882177,0.0031598168,0.017674562,0.010241032,-0.01064181,0.018033277,0.0037824598,-0.028889693,0.14652689,0.012359481,0.031997785,0.013413306,-0.015737846,-0.3114279,0.007910833,-0.12905553,-0.0136931045,0.030377878,-0.009565242,0.041984443,0.058847025,-0.010487085,0.014325837,-0.10239356,0.33636114,0.18096088
14,-0.03857015,0.04461141,0.017659262,0.06003093,0.09811411,0.018975,0.0378818,0.008657566,0.018806344,0.008549002,-0.00667785,0.013858015,0.007885313,-0.019512638,0.15633553,0.015671356,0.034199446,0.012598821,-0.011051836,-0.3279378,0.012023594,-0.16881788,-0.004769569,0.030307768,0.014047481,0.0386973,0.054906443,-0.010111159,0.014189704,-0.093766615,0.30326557,0.17314336
15,-0.030261723,0.025652947,0.009929695,0.037810072,0.05762618,0.013049085,0.022933876,0.0017937957,0.010612277,0.005377429,-0.008047054,0.0060317186,0.010505574,-0.017261613,0.16509068,0.0029930207,0.01935496,0.010825886,-0.0059890617,-0.23919514,-0.036307707,-0.09004605,-0.0078065176,0.023832029,0.023862606,0.024895862,0.035108928,-0.008863835,0.00475053,-0.074438654,0.1753738,0.21915251
16,-0.028263368,0.019255994,0.011092082,0.02795837,0.07938695,0.011729363,0.017359022,0.0017230327,0.013404289,0.0054895272,-0.007327838,0.0029949804,0.016110092,-0.012129503,0.18853569,0.0014794032,0.015357856,0.00979656,0.0012131226,-0.18928498,-0.04179389,-0.10263991,-0.0073544933,0.024933806,0.038304817,0.019428262,0.028581195,-0.006472272,0.0030458912,-0.09240353,0.113071784,0.22914563
17,-0.03036933,0.021053223,0.014346909,0.028537888,0.097707525,0.01326349,0.019222163,0.004391955,0.019121626,0.008544431,-0.0061868425,0.0050151907,0.01829145,-0.009696104,0.18971536,0.0056416164,0.01778231,0.010101402,0.004525422,-0.18120411,-0.016526248,-0.13514459,-0.0062891524,0.028012801,0.037951004,0.020946627,0.03119547,-0.005102153,0.0064265714,-0.119994536,0.11434445,0.22628252
