t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,-0.010210781,-0.0041779196,0.0017163998,-0.00046882304,-0.0030302654,-0.0018841819,0.0024885964,0.011471152,0.005343502,-0.0015163504,-0.0010802251,-0.0016160171,0.0029649136
1,-0.0024366172,-0.00091782777,0.00011699761,0.00020137601,-0.0004828779,-6.0295613e-05,-0.0015649479,0.0033348028,0.0011596155,3.463843e-05,4.7350426e-05,1.7199469e-05,0.00055058545
2,-0.0012555473,-0.0023328532,0.00050810026,0.0010040721,-0.0011251996,0.0033116036,-0.005353498,0.005445686,0.00047865623,-0.00057893846,-0.0005918764,-0.00060745736,0.0010972508
3,0.0007062746,-0.00096460036,-0.00058299553,-0.00033595614,0.00034754752,0.0005146446,-0.00024107342,-0.00080784695,4.2412874e-05,-0.00016951827,-0.00024308961,-0.00017285107,0.0019070518
4,-0.0012289392,-0.0011403902,0.0005108894,0.00031110572,-0.00097483443,0.0018048303,-0.003306345,0.0034792435,0.0007592051,-0.00031441657,-0.00029873665,-0.00031449526,0.0007128834
5,-0.00028231973,-0.0005958578,-9.166073e-05,6.5183405e-05,-0.00035310295,0.0007271339,-0.0031720677,0.0019446381,0.00062996417,-5.2462074e-05,-9.974248e-06,-8.86437e-05,0.0012791695
6,0.00020089274,-0.00047376097,-0.0005856899,-0.0005131138,0.00042848528,-0.0002216351,-0.00029139352,-0.00031215762,5.656582e-05,6.162982e-05,9.779119e-05,3.7101716e-05,0.0015152844
7,0.29318637,0.33838993,0.033515457,0.12440545,0.27143604,-1.2233597,-0.6344422,1.1388842,-0.023240091,-0.017322574,-0.03665621,-0.055218425,-0.20957837
8,0.011398732,0.023913924,-0.013943318,0.052049022,0.029686566,-0.04996744,-0.09426198,-0.012573521,0.0006357173,0.008527643,0.009511899,0.0067710537,0.0282517
9,0.00039933153,-0.000776499,-0.0021046228,0.0002511729,0.0014122056,-0.0007203383,0.0034247702,-0.0026557413,-0.00047085906,-0.00022360876,-0.00010989545,-0.000348296,0.0019223806
10,0.0003807144,-0.00017736029,-0.0012924611,0.0006866853,0.0009143947,-0.0017149855,0.0027477962,-0.0019412511,-0.00069962983,6.377229e-05,0.00014000486,3.1033687e-05,0.0008612858
11,0.00062608905,-0.00018081,-0.0006059002,0.0002812965,0.000650764,-0.0005984569,0.0016520765,-0.0019777766,-0.0004051453,-1.0778084e-06,2.9278322e-05,-1.2223718e-05,0.0005418866
12,0.00041547394,-0.00028547095,-0.00043590044,0.00025461908,0.00045179727,-0.00065299985,0.0003447809,-0.0003843175,-0.00025929048,-3.682241e-05,1.0334243e-06,-4.8102607e-05,0.00063519925
