t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.4829993,0.48415124,0.49786046,0.47486284,0.45376095,0.4857963,0.4858731,0.4812777,0.4925659,0.48960248,0.4838514,0.49582702,0.4908002,0.4832677,0.56348133,0.4871035,0.47735885,0.49319613,0.49262086,0.55095065,0.5241964,0.5383965,0.4821446,0.49176303,0.56723017,0.49483687,0.49431863,0.4883055,0.49014384,0.5318539,0.4651625,0.5466235
1,0.46155465,0.4656113,0.49621865,0.4447795,0.37352014,0.46621662,0.46672192,0.45741257,0.48458016,0.4749832,0.46212614,0.48894134,0.47823068,0.46172813,0.67762375,0.47322613,0.44922796,0.484575,0.48256585,0.64789623,0.56394565,0.5871358,0.45882422,0.4814244,0.6616366,0.48747244,0.4870802,0.47294605,0.47531918,0.58966637,0.42190146,0.61249214
2,0.47371116,0.47588578,0.49637896,0.46504065,0.3967772,0.47603,0.47617173,0.4704807,0.48804766,0.48231506,0.47338653,0.49099383,0.48407114,0.47301206,0.6550657,0.48339358,0.4666104,0.4894155,0.4864738,0.6268987,0.5561007,0.55591863,0.47041395,0.48671314,0.6373443,0.48902646,0.48922238,0.48161355,0.481396,0.580636,0.44487286,0.59162396
3,0.48691553,0.4875576,0.49960336,0.480503,0.4566369,0.48600188,0.48815927,0.48361558,0.49639317,0.4916889,0.48505747,0.49615607,0.49092624,0.48686117,0.5683461,0.49042743,0.48121735,0.49452782,0.49276698,0.55830705,0.52214885,0.53737456,0.4835665,0.49274,0.55570084,0.49577042,0.49491152,0.49014097,0.4906747,0.52194786,0.46806252,0.5308549
4,0.4717381,0.47328204,0.49653292,0.45996848,0.40241322,0.47383264,0.474753,0.46739942,0.4878121,0.48134416,0.47087702,0.49093017,0.48276734,0.47111353,0.64384365,0.48004815,0.4622254,0.4881901,0.48570517,0.62120354,0.5533255,0.5662454,0.46805295,0.48527768,0.6314206,0.48946318,0.48881772,0.47965947,0.48081726,0.5724151,0.43931457,0.58735913
5,0.47944656,0.48192194,0.50111616,0.47190756,0.35297224,0.47564703,0.47810453,0.47216064,0.49431667,0.48233733,0.47402462,0.4913079,0.48464546,0.4745885,0.70696515,0.489198,0.4704539,0.4925113,0.48706836,0.67843026,0.57190883,0.5510757,0.47191095,0.48907515,0.6537648,0.49096188,0.49224085,0.4824923,0.4809684,0.6066255,0.4516464,0.5988136
6,0.47912392,0.48129755,0.49876353,0.47277993,0.39293337,0.47771764,0.4799959,0.47461626,0.49323574,0.4850131,0.47624165,0.49138463,0.48513225,0.47737014,0.66598505,0.48768726,0.47201547,0.49108022,0.48762324,0.64091647,0.5562841,0.5505009,0.47375745,0.48875606,0.62873393,0.49059835,0.4911202,0.48393178,0.483235,0.57963175,0.45257056,0.5832894
7,0.46462473,0.4664981,0.4963516,0.44975853,0.38115725,0.46682537,0.46853334,0.45917895,0.48608026,0.47734767,0.4631005,0.48884445,0.47820145,0.46434614,0.68007827,0.47515872,0.45236722,0.4851986,0.48202723,0.6508956,0.56430006,0.58303875,0.45943153,0.4818745,0.6565922,0.48726234,0.48622435,0.47475767,0.47597483,0.5837572,0.42480004,0.60157675
8,0.47089043,0.47178522,0.50188607,0.45195594,0.38243654,0.46795806,0.4721565,0.4612259,0.4932072,0.47965443,0.4649801,0.49267593,0.48047563,0.46825513,0.6586416,0.47771883,0.4547011,0.48917884,0.48475322,0.639501,0.5530694,0.58408445,0.46239793,0.4846076,0.6233405,0.49292803,0.49081388,0.47652993,0.478698,0.5590871,0.43077856,0.5691906
9,0.4706284,0.47240546,0.49783635,0.45685774,0.40012106,0.4706393,0.47322822,0.46503943,0.48959002,0.48054484,0.46806028,0.49030897,0.48082498,0.47011542,0.64956576,0.47871396,0.45887974,0.4874571,0.4846173,0.6290414,0.5530016,0.57750225,0.46539712,0.48401302,0.62955606,0.48975152,0.4884096,0.47796458,0.47938973,0.5674216,0.4340446,0.5806705
10,0.49822137,0.49796933,0.50000757,0.49907824,0.47435468,0.49436274,0.49690518,0.49573737,0.5001141,0.4979783,0.49521452,0.4972014,0.4957702,0.4968942,0.5496078,0.4995107,0.49665156,0.49862632,0.49621478,0.54143953,0.5161161,0.51303804,0.49461493,0.49725434,0.53806096,0.49739993,0.49738035,0.4973482,0.49641928,0.51865757,0.4894344,0.5153726
11,0.49950677,0.50074464,0.5000615,0.50079805,0.48054385,0.4962413,0.49879032,0.4983268,0.50087273,0.49898082,0.49743372,0.49772516,0.49716893,0.49866107,0.5368186,0.50054926,0.49878168,0.4990357,0.49753115,0.5258276,0.5085304,0.51018196,0.49751544,0.4986555,0.5291917,0.49877468,0.49960524,0.49859977,0.4982322,0.50980985,0.49414742,0.51001805
