t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.46946588,0.45694125,0.48617086,0.46041286,0.3553953,0.48645106,0.47181046,0.48057184,0.4797315,0.48090562,0.47742754,0.48449045,0.48676512,0.46563226,0.64283824,0.46219805,0.45551166,0.48291686,0.48627645,0.61709464,0.44757068,0.59339017,0.46489644,0.4846635,0.4951279,0.48465297,0.4843212,0.4831061,0.4554057,0.6834665,0.4876914,0.7073513
1,0.47031528,0.455415,0.48576316,0.4599642,0.36174184,0.4862881,0.4709065,0.48018965,0.47940695,0.48084256,0.47669554,0.4838692,0.48629442,0.46466652,0.6111809,0.4607914,0.4536034,0.48262638,0.48659354,0.6052464,0.44795883,0.57314575,0.46328035,0.48451075,0.54244196,0.4839973,0.48404455,0.4835314,0.45813286,0.68059385,0.49939775,0.6996988
2,0.47527152,0.4657954,0.48769093,0.4721681,0.37720352,0.4880388,0.4765876,0.48354682,0.48245287,0.4837741,0.4814187,0.4864272,0.48783422,0.4719775,0.6438946,0.47249866,0.46589908,0.48534578,0.48790857,0.6069807,0.45931804,0.549493,0.46995178,0.48636085,0.48628235,0.4865179,0.48557353,0.4857711,0.46103048,0.67522854,0.46876442,0.71779937
3,0.4753066,0.458948,0.48869222,0.46625042,0.33111683,0.48790663,0.4739473,0.48171577,0.48366904,0.48011392,0.4784745,0.48499325,0.4875704,0.4678742,0.55169165,0.4648984,0.45832983,0.48342994,0.48763606,0.5878883,0.44940826,0.52396244,0.4655571,0.48631725,0.4850952,0.48653445,0.48594117,0.48445266,0.45658153,0.72701746,0.520603,0.6996596
4,0.48953277,0.4839629,0.49335745,0.489852,0.44217664,0.49387297,0.4886746,0.49187797,0.49136874,0.4916685,0.4908703,0.49220428,0.49332485,0.48670274,0.552088,0.48775002,0.48419708,0.492671,0.49397883,0.5510119,0.48128727,0.49897513,0.4848995,0.49275485,0.5105113,0.49279797,0.4919139,0.4930589,0.48046172,0.60199606,0.49009544,0.6362484
5,0.4749265,0.46399668,0.48716697,0.46993372,0.3783186,0.48779303,0.47567853,0.4831235,0.48204395,0.48320273,0.4805351,0.48539954,0.48762175,0.47108772,0.6223303,0.46990564,0.4635273,0.4850936,0.48770267,0.6065381,0.4569787,0.55537915,0.46923488,0.48598835,0.5042437,0.48618135,0.48520824,0.48542392,0.4609029,0.6718105,0.4788069,0.72059315
6,0.49721974,0.4959309,0.49696428,0.50040257,0.4817808,0.49760464,0.49657613,0.49721217,0.49669603,0.49683505,0.49716145,0.49632952,0.49689317,0.49635807,0.52295053,0.49793375,0.49660513,0.49744925,0.49743828,0.52628803,0.49513763,0.48986736,0.49479693,0.4968139,0.49721444,0.49715927,0.49613082,0.49746093,0.4911524,0.55223286,0.4889574,0.59439695
7,0.49567592,0.49424717,0.49701247,0.49731794,0.47322032,0.49728817,0.49564067,0.4967412,0.49640158,0.4959546,0.49639142,0.4962399,0.4972139,0.49488205,0.53662515,0.4955298,0.49464038,0.49695823,0.4970775,0.5279586,0.49228382,0.50854623,0.49426568,0.49663088,0.47510502,0.49695438,0.4960373,0.49683002,0.48946774,0.5527825,0.49002776,0.5847237
8,0.4683403,0.4566053,0.4853798,0.4621152,0.3399246,0.48539206,0.47065625,0.47956175,0.47896925,0.47944185,0.47651154,0.4832736,0.48559427,0.46480516,0.67353284,0.46348184,0.4561393,0.48194614,0.48489916,0.64011234,0.44652092,0.57830304,0.46291292,0.48349938,0.46368095,0.48403096,0.48271823,0.48200473,0.4503434,0.71277356,0.46514314,0.75827086
9,0.47657612,0.46759117,0.48834497,0.4741401,0.37556678,0.488501,0.47772694,0.48401114,0.48372847,0.4841394,0.48200893,0.4866857,0.48817217,0.4733361,0.6392199,0.4736537,0.46774542,0.486005,0.4882242,0.6106693,0.4609601,0.5396599,0.47078246,0.48692518,0.47758117,0.48730507,0.48590153,0.48617187,0.4610014,0.6838812,0.46528858,0.7298332
10,0.45528668,0.4357455,0.47828424,0.443869,0.29329973,0.47894737,0.45708168,0.47003672,0.46904358,0.47135782,0.46547592,0.4755715,0.47862872,0.44859716,0.70476013,0.44562116,0.4343507,0.4740587,0.47896412,0.68033457,0.42463684,0.59684724,0.44516343,0.47626662,0.52657676,0.4762649,0.47512552,0.47478583,0.43396923,0.77151585,0.4618014,0.82335615
11,0.47525743,0.46045566,0.4872962,0.46816754,0.35502294,0.4873813,0.4741142,0.48165137,0.4822849,0.48158777,0.47873035,0.48455083,0.4866725,0.46873954,0.5854012,0.466973,0.4597623,0.48390576,0.48752823,0.59992224,0.45339185,0.52211136,0.46560624,0.48566535,0.5238234,0.48573878,0.48484737,0.4847706,0.4588568,0.70701414,0.4962224,0.7226463
