t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.041861318,0.06240635,0.033786643,0.07914425,0.30280527,0.013913289,0.05015468,0.022546353,0.045862857,0.01827901,-0.002170211,0.040479224,-0.010477275,-0.023397619,-0.06125437,0.05688843,0.050872285,0.013354875,-0.016229527,-0.33826005,0.16167948,-0.30658406,-0.016614372,0.036238685,-0.013671649,0.06089384,0.086741656,-0.0035439013,0.043981984,-0.11762596,0.40040934,0.07674273
1,-0.047939688,0.06943647,0.0317172,0.0832844,0.40657604,0.018929303,0.0572843,0.020764925,0.04535059,0.024324141,-0.0055715144,0.031117273,-0.008058797,-0.02230092,0.19339713,0.04715456,0.05628058,0.018001925,-0.019328127,-0.47989756,0.17344269,-0.41598138,-0.008018049,0.0366712,0.04446175,0.06027268,0.08348651,-0.0047071152,0.037683822,-0.10523723,0.4128785,0.24392512
2,-0.06616023,0.094806306,0.038310993,0.11849126,0.5373391,0.03534092,0.071195275,0.03303552,0.036443956,0.005552011,0.00044787207,0.024841635,0.01906827,-0.013459294,0.31804213,0.059417624,0.07398041,0.012384033,-0.010727653,-0.6974095,0.084245,-0.45729217,0.0068870066,0.05308694,0.029315623,0.06856143,0.10349914,-0.011304379,0.036315113,-0.09385814,0.4830993,0.13765553
3,-0.053783316,0.061754342,0.023363343,0.08727632,0.23595981,0.015243321,0.05451627,0.0074794115,0.034006264,0.02279475,-0.016167141,0.034596354,-0.01773161,-0.045114394,0.11186888,0.03484757,0.04958338,0.02534668,-0.033148803,-0.51502466,0.15711173,-0.29601353,-0.027267251,0.0341586,-0.06843156,0.06491388,0.08826536,-0.01236937,0.034674056,-0.11061308,0.44144318,0.2695394
4,-0.078127004,0.10289169,0.04203406,0.13713303,0.47050354,0.035664164,0.0785472,0.028907536,0.039583918,0.0060276776,-0.005679295,0.03459425,0.013796208,-0.02914203,0.2450635,0.065347046,0.08198116,0.017911939,-0.019565294,-0.7505969,0.12078149,-0.50816154,-0.0070702485,0.058613367,-0.08608469,0.08175559,0.12200314,-0.01364508,0.043737367,-0.18893988,0.5410166,0.061601385
5,-0.09277277,0.11030256,0.05182089,0.11196683,0.50406843,0.040341616,0.08755448,0.022052497,0.084704004,0.057086278,-0.0143381525,0.028409285,0.011247467,-0.027237726,0.67163694,0.047631558,0.09428304,0.02775695,-0.010397039,-0.7132674,0.20567876,-0.6962679,0.013733023,0.06551786,0.10480759,0.07822232,0.10216974,-0.006293093,0.037057985,-0.24115781,0.437124,0.42379957
6,-0.033405665,0.00710854,-0.0071333973,0.027315568,-0.010141368,0.012518398,0.009981174,-0.011535873,-0.013662701,-0.0037921132,-0.011677373,-0.0025077655,0.016739847,-0.026406894,0.18923968,-0.019452412,0.004017706,0.005587408,-0.0052606016,-0.28029275,-0.1674432,0.04019678,-0.015508492,0.017647361,-0.014419592,0.012091982,0.017435933,-0.012418119,-0.012073101,-0.01317674,0.078461744,0.24440292
7,-0.04049257,0.048599474,0.020865388,0.0568817,0.18023285,0.019975657,0.0441503,0.008259417,0.028485851,0.023865934,-0.009023155,0.015485076,0.0034270608,-0.02081781,0.21521218,0.015884748,0.039588694,0.016809847,-0.012935435,-0.3756763,0.01696044,-0.33577347,-0.0014843185,0.032039512,0.12654966,0.04062939,0.052913096,-0.0108857015,0.01777858,-0.13013096,0.26233384,0.24585053
8,-0.032136608,0.013792069,0.004503179,0.026189856,0.0472307,0.013196521,0.015147803,-0.0028188098,0.0028860006,0.004518426,-0.0086084455,0.00021469966,0.017925171,-0.015481448,0.20115276,-0.006826325,0.011744344,0.008184975,-0.000518633,-0.20959716,-0.09874236,-0.06365077,-0.008000756,0.022988038,0.047697637,0.0154559165,0.02264253,-0.009159022,-0.0018705578,-0.049464032,0.08948353,0.16420583
9,-0.02971232,0.019276187,0.010445191,0.02302591,0.08744313,0.01385328,0.01806539,0.0017707339,0.013592229,0.011065663,-0.0061974237,0.00053737726,0.017588353,-0.008615914,0.24175513,-0.00131646,0.016657427,0.0075320965,0.0030651267,-0.16940023,-0.07907283,-0.11272279,0.000984918,0.024245594,0.11790241,0.01550144,0.021368429,-0.008085545,0.0008196042,-0.03378425,0.078065865,0.1743913
