t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.47640496,0.46422675,0.49001202,0.46728778,0.3633118,0.48958763,0.4772376,0.4844137,0.48507658,0.48378178,0.4815469,0.48769405,0.48970136,0.4720635,0.5755098,0.468451,0.46303937,0.48605222,0.48927042,0.5856377,0.45517725,0.5593533,0.47121686,0.4882772,0.48923197,0.48846474,0.48831847,0.48644102,0.4633099,0.6708292,0.5104256,0.6562024
1,0.47673917,0.46631247,0.4884215,0.47122845,0.39315343,0.4889168,0.47758904,0.48447862,0.4833791,0.48498008,0.4820834,0.48725843,0.4890824,0.47246784,0.6201912,0.4710418,0.465369,0.48632166,0.48915687,0.58577824,0.4608717,0.5564145,0.47168285,0.48747057,0.5116836,0.4870259,0.48667598,0.4869067,0.46584004,0.64649457,0.48907748,0.6738802
2,0.46625158,0.45174098,0.483585,0.45793593,0.34088692,0.4841866,0.4678459,0.4776821,0.47661105,0.47798586,0.4742395,0.4815055,0.48417237,0.4612777,0.6522502,0.4584174,0.45068225,0.48032746,0.48414657,0.6340055,0.44244236,0.5878682,0.45933503,0.48196486,0.5054925,0.48191348,0.4812525,0.48080677,0.4492369,0.7172962,0.47964722,0.7559167
3,0.46233195,0.44563872,0.48145333,0.4532601,0.31956467,0.4820726,0.46370324,0.47466132,0.47374547,0.4751005,0.47084877,0.4789303,0.48181885,0.45651335,0.665175,0.45390028,0.4445755,0.4777131,0.48204383,0.65272963,0.43518263,0.58285457,0.45376518,0.4795504,0.51436746,0.4795767,0.47868204,0.4782809,0.44250613,0.746021,0.47546908,0.7877755
4,0.46446374,0.44768688,0.4817006,0.45536497,0.33958042,0.48268467,0.4650813,0.4757102,0.4741816,0.47673547,0.47196975,0.47964016,0.48251703,0.4579641,0.6619304,0.45558426,0.44629484,0.47877696,0.48310733,0.6382029,0.43971232,0.57508475,0.455533,0.480321,0.54069054,0.47989875,0.4792282,0.47967756,0.44783774,0.7195836,0.47677302,0.77022994
5,0.45984557,0.44072732,0.4798993,0.4487867,0.31086987,0.48070854,0.46054646,0.4726876,0.47154754,0.47351104,0.46833706,0.47711623,0.48021755,0.45311844,0.6612251,0.45018855,0.43936306,0.47606587,0.4808612,0.66029185,0.43015194,0.5796007,0.44981655,0.478041,0.5427212,0.47803932,0.4772349,0.47691947,0.44022802,0.75211924,0.4765374,0.79948986
6,0.4921676,0.48746628,0.49383587,0.49339017,0.46298048,0.49469835,0.49099302,0.49328625,0.49235392,0.49340376,0.4926463,0.4930706,0.4940408,0.48957643,0.54445183,0.491065,0.48773223,0.49404806,0.49504003,0.5412605,0.48633853,0.49092132,0.48771533,0.4935869,0.52457273,0.49353984,0.49268323,0.4943709,0.4846217,0.5799361,0.48727223,0.6258725
7,0.4966918,0.49603343,0.49709705,0.49987057,0.4771315,0.49739432,0.49641845,0.49730992,0.49663523,0.49631906,0.49718708,0.49643835,0.49726725,0.4962002,0.541486,0.49806648,0.49684656,0.49725622,0.49725085,0.5267098,0.49410242,0.49628258,0.49540246,0.49666515,0.47396982,0.4971053,0.49607188,0.4971213,0.49002737,0.5521535,0.4844728,0.58832115
8,0.4850821,0.48294544,0.49381888,0.48859048,0.3855017,0.49288982,0.48724642,0.4904632,0.49132276,0.48875856,0.48981985,0.49192062,0.49240097,0.4855476,0.61978954,0.48889112,0.48495394,0.4911095,0.49146846,0.59990746,0.47426575,0.5161042,0.48287773,0.49171466,0.38793948,0.49346867,0.49123615,0.49039897,0.4672329,0.6710275,0.4559036,0.7082846
9,0.46891144,0.456193,0.4854097,0.4638392,0.32708645,0.48515907,0.47050023,0.47871462,0.47954327,0.47857133,0.47592628,0.4825347,0.48468897,0.46459988,0.65094435,0.46388307,0.4562058,0.48148817,0.48452303,0.6418461,0.44595292,0.5536671,0.4613464,0.48318914,0.46181658,0.48383212,0.48210973,0.48151204,0.44763952,0.7410637,0.467441,0.7785901
10,0.46837404,0.45076028,0.48489922,0.45892632,0.31608146,0.48449352,0.4677257,0.47723937,0.4786421,0.4769079,0.4735369,0.48126668,0.483986,0.4609797,0.60734385,0.45846924,0.44990894,0.480055,0.48441842,0.62697536,0.44092935,0.53873706,0.4576322,0.48258573,0.50408596,0.4827533,0.48169369,0.48093143,0.44814062,0.7475228,0.49466947,0.7598567
11,0.4589632,0.44060805,0.47946772,0.44993612,0.30164108,0.47993088,0.45997882,0.47182134,0.47117028,0.47254422,0.46770316,0.47651055,0.47953302,0.4522742,0.6885435,0.45066926,0.4397634,0.47546682,0.4800718,0.6702576,0.42971322,0.57851344,0.44867513,0.4772892,0.5124548,0.47740635,0.47604415,0.4760639,0.4364974,0.7686412,0.4636136,0.8183817
12,0.49750075,0.49638867,0.49666417,0.50249225,0.47891665,0.49703237,0.4963288,0.49662533,0.49649483,0.49675044,0.49688405,0.49610436,0.49610397,0.49626327,0.5442294,0.49994922,0.49756697,0.49718443,0.49715078,0.53248256,0.49672362,0.46317792,0.49368945,0.49635372,0.49814084,0.4966928,0.49531937,0.49726135,0.49032095,0.565925,0.47341943,0.61653125
13,0.49880624,0.49962893,0.498552,0.5031589,0.48034936,0.4984732,0.49858233,0.4986561,0.49874765,0.4977915,0.49885216,0.49779546,0.4980365,0.49913746,0.53548455,0.5019056,0.50079215,0.49867907,0.49813893,0.5276776,0.49798897,0.4817513,0.4976041,0.4979938,0.4657008,0.4987276,0.49741396,0.4984092,0.49231958,0.5486333,0.4775694,0.5881676
14,0.49355263,0.49121198,0.4967032,0.4942501,0.4547041,0.49677098,0.49370658,0.49556118,0.4957176,0.49499002,0.49493092,0.49552634,0.49612874,0.4928827,0.53922015,0.49356443,0.49137774,0.49607298,0.49626067,0.5429132,0.48787054,0.5058243,0.49137107,0.49603683,0.4821626,0.49668273,0.49561217,0.49604928,0.4863001,0.5699682,0.4915959,0.6031888
15,0.4968008,0.49671468,0.49816084,0.49934593,0.47535852,0.49841413,0.49709585,0.49794307,0.49785218,0.49772066,0.49781826,0.49749443,0.49741325,0.49733162,0.52982575,0.4987488,0.4972386,0.49827838,0.49780196,0.5337424,0.49481708,0.49823633,0.49548718,0.497844,0.4890859,0.49862394,0.49752766,0.4981902,0.49164313,0.5461615,0.48717603,0.5881239
16,0.4973422,0.49743298,0.49849737,0.4997255,0.47794524,0.49883366,0.49776697,0.49835107,0.4982924,0.49822593,0.49830097,0.49790606,0.4977326,0.4980463,0.52307296,0.49898022,0.49794626,0.49871105,0.4981499,0.5294277,0.49568012,0.5018851,0.49625716,0.49829045,0.49088064,0.4990871,0.49802208,0.49855763,0.49258545,0.5433321,0.48950076,0.5813008
17,0.48913142,0.48610505,0.4951485,0.48927864,0.4332089,0.4951478,0.49023956,0.49299443,0.49313408,0.49318504,0.4921956,0.49421695,0.49425706,0.4888758,0.5715503,0.48982114,0.48674804,0.49409717,0.49439934,0.56363285,0.4825214,0.5198695,0.48656076,0.4944336,0.4745916,0.4952907,0.4940519,0.49403846,0.4808006,0.5979993,0.47471592,0.6406392
18,0.47315145,0.45916152,0.48728678,0.46427727,0.35879645,0.48746568,0.47353712,0.4814788,0.481798,0.4821354,0.47834548,0.48499957,0.48700634,0.46785927,0.60246843,0.4649595,0.4580688,0.48412567,0.4873592,0.60525066,0.4520714,0.5537975,0.4655428,0.4859817,0.5231323,0.4859906,0.48524636,0.48476386,0.45946687,0.68746436,0.4918118,0.71266794
19,0.49837524,0.49787882,0.49796897,0.5021144,0.48302865,0.49854323,0.4978829,0.49810782,0.49798718,0.4982525,0.49825895,0.49738908,0.49709833,0.49821374,0.5139808,0.50019205,0.4986587,0.4985175,0.49814254,0.5255472,0.49733636,0.48232067,0.4958176,0.4978754,0.50763285,0.49844724,0.49729744,0.49854726,0.49305737,0.5498911,0.48927066,0.5904203
