t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.44322157,0.45186698,0.47499213,0.44650447,0.28423616,0.46321732,0.45577693,0.45948586,0.46980128,0.4624142,0.45916468,0.46920425,0.46805558,0.44689277,0.22368996,0.43374476,0.43890694,0.46844062,0.46915996,0.3256163,0.4402449,0.33129096,0.4501408,0.4641268,0.21147232,0.4677027,0.46806514,0.4564755,0.4712608,0.38358247,0.5706806,0.26314947
1,0.44813076,0.4523614,0.4734614,0.45250607,0.32527363,0.4656018,0.4581037,0.46166277,0.46774146,0.46408626,0.46215242,0.4690358,0.47021958,0.45099849,0.2747821,0.43687382,0.44314784,0.46881425,0.4708392,0.30219135,0.45957693,0.36189887,0.45322573,0.46452653,0.2787353,0.4666507,0.46635765,0.45995232,0.47226405,0.40195137,0.5606839,0.3083477
2,0.4242257,0.4329081,0.46201518,0.43096048,0.2427735,0.4497449,0.43991348,0.44422084,0.45450082,0.44747585,0.44458145,0.4554225,0.45594552,0.42916775,0.17737687,0.41005856,0.41870484,0.4544131,0.4569999,0.24098817,0.42518297,0.2999597,0.43277144,0.44887614,0.1665463,0.45237115,0.4524088,0.44053388,0.45903814,0.36350518,0.58727264,0.20029481
3,0.41540223,0.42472738,0.45704174,0.42336416,0.21339574,0.4431137,0.4325903,0.4367853,0.44877797,0.44065005,0.43734178,0.44942978,0.45019734,0.42045987,0.14719166,0.399235,0.4086942,0.4485949,0.45130795,0.21438994,0.41031894,0.27225357,0.42472312,0.44198507,0.13481379,0.4461031,0.44570792,0.43255112,0.45358017,0.34512267,0.59619117,0.1661948
4,0.42167133,0.42732602,0.45881298,0.42782646,0.24614622,0.44670543,0.43592188,0.44060344,0.45060632,0.4444554,0.4413109,0.45192128,0.4538194,0.4251072,0.18805648,0.4027068,0.4129466,0.4514511,0.45494664,0.2336996,0.42166197,0.2911781,0.4290237,0.44500157,0.17257701,0.44858474,0.44795665,0.43779022,0.45700952,0.35043228,0.5894062,0.19767408
5,0.41080374,0.41933587,0.45417717,0.41781414,0.207482,0.4392946,0.4278044,0.43271255,0.44540066,0.43696356,0.43309113,0.4461161,0.44710094,0.4151734,0.1474342,0.39136937,0.40185845,0.44511643,0.44850346,0.2176513,0.39731246,0.2600609,0.4200536,0.43814528,0.123488046,0.4428674,0.442421,0.42846966,0.45115304,0.32902235,0.6017755,0.15058255
6,0.48413706,0.48253292,0.48694125,0.48892236,0.43571377,0.4860894,0.4855476,0.48393273,0.48543173,0.4846494,0.48518893,0.4852284,0.48792446,0.4826928,0.4003959,0.4741044,0.47920877,0.48657978,0.4876781,0.39116484,0.48132366,0.44193938,0.48504275,0.4831873,0.40323576,0.48421898,0.4821345,0.4830369,0.48751464,0.4665258,0.5165951,0.40767896
7,0.49263316,0.49304572,0.49309343,0.497215,0.45020643,0.49301767,0.49425486,0.49214336,0.49267155,0.49164417,0.49278998,0.4921292,0.4936135,0.4925407,0.42468244,0.49013072,0.49194062,0.49346796,0.49292397,0.40536848,0.49091005,0.47699946,0.49407104,0.49110836,0.43680894,0.49162477,0.49024972,0.49048576,0.4925497,0.49042335,0.50524116,0.4387062
8,0.4622151,0.4726984,0.48177978,0.47353265,0.2736,0.474507,0.47481722,0.47164282,0.47922924,0.4725709,0.47230318,0.47772586,0.4766442,0.46802455,0.2236025,0.46846062,0.46692398,0.4791589,0.47549847,0.24818502,0.43879402,0.40104702,0.46984348,0.47418648,0.21861283,0.47637504,0.4754312,0.4657079,0.47628167,0.45322767,0.5299757,0.24691796
9,0.42767826,0.43759552,0.4641318,0.43736172,0.21098159,0.4509117,0.4441882,0.44505087,0.45786855,0.4489239,0.44571942,0.45667478,0.4568034,0.43260354,0.14625879,0.41812518,0.42411664,0.4573403,0.45708388,0.20907275,0.41316202,0.29306057,0.4364613,0.45022738,0.14231929,0.45394167,0.4527537,0.4404654,0.45893255,0.37532285,0.577718,0.1659978
10,0.42557287,0.43315777,0.4631405,0.4325258,0.21146894,0.4482604,0.44012472,0.44215402,0.45640898,0.4465426,0.44284597,0.45473346,0.45572835,0.4277573,0.15208215,0.40663514,0.41667873,0.45588169,0.45643437,0.24002907,0.40634656,0.2705438,0.43294066,0.44747734,0.13530706,0.452214,0.45069683,0.4386349,0.45861748,0.34267655,0.58630013,0.17284329
11,0.40824986,0.41695833,0.4523938,0.417314,0.18592635,0.43731186,0.42631146,0.4299663,0.4434015,0.4345714,0.4308384,0.44360664,0.44526258,0.41315976,0.12777431,0.3901599,0.40036452,0.4437914,0.4463033,0.17913654,0.39928266,0.25805572,0.41780296,0.435556,0.113980755,0.43991107,0.4389317,0.4255309,0.4485377,0.3321971,0.6014335,0.13857602
12,0.49595448,0.49336928,0.49252355,0.5018304,0.44589508,0.49342245,0.49572542,0.4916893,0.4923272,0.4921024,0.49336383,0.49160504,0.49432462,0.4943522,0.429339,0.4905752,0.49336663,0.4941341,0.49330905,0.38203442,0.48558006,0.48102033,0.49560875,0.4904156,0.43372592,0.49078086,0.48827696,0.49075857,0.4925504,0.49673656,0.49768245,0.42330238
13,0.49747366,0.49783066,0.49582914,0.5021162,0.44860166,0.49592897,0.49851966,0.49528885,0.49621925,0.49483714,0.49588284,0.49498326,0.49613905,0.4973663,0.4303509,0.49732432,0.49771783,0.49679345,0.4951678,0.40848783,0.48714888,0.48610157,0.49835616,0.4943187,0.4381328,0.4947228,0.49322134,0.49347523,0.4946349,0.50322807,0.49735108,0.42703578
14,0.48587456,0.48768857,0.49156564,0.48929754,0.42308873,0.48880345,0.48905215,0.48778468,0.4910728,0.48819062,0.48769957,0.48966193,0.49000847,0.4861885,0.3843184,0.48253575,0.48381144,0.49059734,0.48955506,0.4073839,0.47883627,0.4327898,0.4877413,0.48805833,0.39589456,0.48948374,0.48836082,0.4858134,0.4900339,0.4763059,0.51628447,0.38620642
15,0.49468157,0.49571088,0.4953849,0.49810836,0.45701844,0.49459285,0.49623185,0.49423692,0.4957894,0.494081,0.49417233,0.4947102,0.49483657,0.49488685,0.4273235,0.4935126,0.49373773,0.49539068,0.49412325,0.4316564,0.48529,0.45913363,0.49568146,0.49379802,0.43955457,0.49483413,0.49380535,0.4923101,0.49446332,0.4970141,0.5048211,0.41610023
16,0.4959504,0.49692014,0.49623168,0.4990187,0.46172872,0.4955826,0.49730992,0.4952586,0.49685654,0.49523175,0.4951588,0.49574164,0.49562496,0.49606663,0.43057355,0.49480748,0.49504027,0.4962575,0.4949947,0.44027966,0.4876034,0.46465567,0.49679652,0.49493876,0.4450789,0.49596,0.49503118,0.49348435,0.4953368,0.5005874,0.5044023,0.4223929
