t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.5261436,0.11331236,0.24050903,0.22603388,0.49671328,0.4347178,0.47358656,0.5001969,0.5184558,0.53152907,0.52112967,0.5417476,0.3596277
1,0.4883876,0.036876794,0.26880655,0.20695147,0.44505477,0.36836743,0.38618279,0.3800121,0.38687608,0.4019361,0.37473124,0.4034954,0.13604562
2,0.6504807,0.012812056,0.4181765,0.29202524,0.63402826,0.54749304,0.60334027,0.6248054,0.6329198,0.6452154,0.6357247,0.64976406,0.3494626
3,0.7348218,0.017443364,0.4579597,0.34478587,0.7005837,0.622094,0.69737095,0.726242,0.7398637,0.75750643,0.7208277,0.76355815,0.41619906
4,0.66678774,0.014373772,0.37453452,0.25575608,0.6403924,0.5721885,0.6130579,0.6198589,0.62680984,0.6399417,0.60942906,0.64482385,0.2749414
5,0.7290353,0.0150282895,0.42204574,0.28321928,0.7172142,0.658826,0.73568153,0.7692247,0.787476,0.80992514,0.79146165,0.82623523,0.41673714
6,0.22324212,0.0019233484,0.118535176,0.07796262,0.18354805,0.15512086,0.15206055,0.17259246,0.20262635,0.21482863,0.21009769,0.22353303,0.109054856
7,0.16193701,0.003091135,0.1692954,0.12634026,0.12629057,0.10451703,0.10279368,0.12084706,0.14603455,0.15561587,0.15436855,0.16345121,0.09676237
8,0.4167728,0.01981725,0.6284314,0.484361,0.4297694,0.39977992,0.46866772,0.5157472,0.56110203,0.5924399,0.61253947,0.62856156,0.41065893
9,0.7120057,0.058022164,0.5534313,0.4426534,0.6369727,0.60326344,0.67997575,0.7095679,0.7345324,0.7589331,0.6902695,0.7814242,0.5053415
10,0.7239164,0.16881391,0.35532886,0.34575012,0.7035831,0.6454966,0.70130426,0.7216489,0.7409684,0.756935,0.7451743,0.76970845,0.51998657
11,0.8001503,0.022520103,0.55281216,0.40933695,0.78900254,0.7265791,0.78351074,0.7993301,0.8100453,0.82733876,0.8086873,0.8321403,0.4590577
12,0.14927095,0.007927668,0.1934609,0.13647602,0.12072383,0.1099107,0.11380638,0.13445821,0.16528967,0.17960669,0.17395793,0.18958648,0.08212685
13,0.118012875,0.004181028,0.20299783,0.14728174,0.09712846,0.09531225,0.0987129,0.12055926,0.16584633,0.18062866,0.18150906,0.1912378,0.11312072
14,0.22336888,0.033801243,0.18450911,0.120274335,0.18893227,0.17117795,0.15056838,0.17999418,0.2987009,0.3519716,0.33766982,0.36871335,0.14825788
15,0.13410404,0.001092716,0.16675203,0.08439706,0.11037256,0.10377527,0.07850926,0.111895226,0.2677003,0.33384237,0.31221625,0.34968027,0.08272778
16,0.12822196,0.0012516375,0.14989401,0.07098295,0.09810031,0.090559624,0.062230095,0.0968382,0.25766265,0.33802226,0.32255554,0.35748586,0.0878664
17,0.22991852,0.0036925466,0.3161202,0.18930325,0.26380065,0.25016555,0.2468374,0.27260625,0.38053858,0.43953568,0.4502742,0.46539438,0.15729585
18,0.55025953,0.08295957,0.26059183,0.23205543,0.53144205,0.49156833,0.5088511,0.51701933,0.5722959,0.6101492,0.59054536,0.62585294,0.3043477
19,0.122970834,0.0066012423,0.12480192,0.06080954,0.09817778,0.08479551,0.060639583,0.08452851,0.22934958,0.31117803,0.29803807,0.33187294,0.10137377
20,0.9558208,0.024276707,0.47366983,0.32370052,0.9433353,0.8921416,0.9395224,0.93080443,0.9373279,0.97338235,0.9302458,0.9821279,0.4051171
21,0.13605997,0.0011386505,0.14641295,0.0637336,0.10558507,0.09247056,0.065169,0.09233498,0.267822,0.37731224,0.35251045,0.40577313,0.069670975
22,0.39656317,0.0020482214,0.37225732,0.31070977,0.39446914,0.35913607,0.35996965,0.36298925,0.4234661,0.46433157,0.4446283,0.4838904,0.119101495
23,0.1350897,0.001432411,0.16431282,0.0737048,0.10754444,0.09388834,0.07047933,0.095835574,0.25716695,0.36586502,0.35817063,0.40261802,0.08886505
24,0.19215801,0.016916996,0.19161978,0.111231595,0.15819418,0.1429945,0.126324,0.15200827,0.28426853,0.36369964,0.34246618,0.39618975,0.08927674
25,0.8564605,0.0038909938,0.64717394,0.48451942,0.84357727,0.8177576,0.88349843,0.8953203,0.924335,0.96637547,0.90713036,0.9956905,0.35453478
26,0.886174,0.010998419,0.54239833,0.41572943,0.8691472,0.8162387,0.86284226,0.86186695,0.86972773,0.9008088,0.8646279,0.91153055,0.37414643
27,0.79712576,0.0033848672,0.55099314,0.35591492,0.79055476,0.7546275,0.80160385,0.79773635,0.8199289,0.8505753,0.8162781,0.86391693,0.33210957
28,0.62750167,0.027349774,0.4235094,0.34582508,0.60195607,0.5653072,0.5946642,0.603945,0.6400577,0.67102665,0.6383371,0.6859026,0.31201264
29,0.8433788,0.01594297,0.42153004,0.31443942,0.8088844,0.7697468,0.8308302,0.8380245,0.8581718,0.89112496,0.82996976,0.8990369,0.41041318
30,0.47336125,0.013016516,0.35735807,0.28761992,0.4780938,0.43754643,0.4476977,0.45454612,0.49684176,0.52860576,0.52993256,0.5464817,0.24775934
31,0.6969277,0.053204264,0.52953696,0.3676535,0.7181772,0.6897495,0.7288101,0.74151427,0.75987303,0.77719915,0.78256005,0.79247385,0.4550621
